,degrees,distance,strength,rad,x,y
0,0.125,7.9,175,0.002181661564992912,7.89998119940108,0.01723511269126048
1,0.687,7.6,183,0.011990411961201045,7.599453680625209,0.09112494736320831
2,1.25,7.5,183,0.02181661564992912,7.498215203099319,0.1636116377592084
3,1.812,7.5,167,0.031625366046137256,7.496249698426127,0.23715070914125125
4,2.375,7.5,175,0.04145156973486533,7.493557550172651,0.31079775136004495
5,2.875,7.2,175,0.050178215994836975,7.190937629618521,0.3611315645805124
6,3.437,7.1,191,0.0599869663910451,7.087229381924602,0.4256520738638754
7,3.937,7.3,183,0.06871361265101675,7.28277308370422,0.5012147356905209
8,4.562,7.1,183,0.07962192047598132,7.077506129091975,0.5647185074579458
9,5.187,7.3,183,0.09053022830094588,7.270106039090415,0.6599683177100799
10,5.687,7.3,191,0.09925687456091753,7.264069978776997,0.7233860265658627
11,6.312,7.4,175,0.11016518238588209,7.355140837066803,0.8135743770008123
12,6.875,7.4,183,0.11999138607461016,7.346791535867007,0.8858070492567227
13,7.375,7.6,183,0.12871803233458182,7.537127219029454,0.9755579348072171
14,7.937,7.6,175,0.13852678273078994,7.527195791622143,1.0494396193139948
15,8.437,7.3,183,0.14725342899076158,7.220997869862052,1.0710694484708705
16,9.0,7.8,183,0.15707963267948966,7.703969056642075,1.2201888273138009
17,9.562,7.5,183,0.16688838307569778,7.3957981907243795,1.24586079562606
18,10.0,7.3,175,0.17453292519943295,7.189096596989119,1.2676316969685915
19,10.625,7.4,175,0.18544123302439752,7.273126938323229,1.3644136246157093
20,11.187,7.2,183,0.19524998342060565,7.063194243421437,1.3968847768152797
21,11.687,7.9,183,0.20397662968057728,7.736223491511139,1.6002643810918282
22,12.312,7.7,175,0.21488493750554186,7.522907207406476,1.641909604318003
23,12.812,7.5,183,0.2236115837655135,7.313271989322362,1.6631454567153587
24,13.437,7.4,183,0.23451989159047806,7.197432541484515,1.7195827432199233
25,13.937,7.6,191,0.2432465378504497,7.376264714793061,1.8304968880877241
26,14.437,7.4,175,0.25197318411042136,7.166325480709687,1.8449333604580629
27,15.062,7.7,183,0.2628814919353859,7.435467975777566,2.0009537678782734
28,15.625,7.4,183,0.272707695624114,7.126534011637444,1.9931163992538727
29,16.187,7.6,175,0.28251644602032217,7.298712911445249,2.1186764350184335
30,16.687,7.5,175,0.29124309228029377,7.184157526679932,2.1535739206834963
31,17.375,7.6,175,0.30325095753401476,7.253217463151762,2.2695454241390087
32,17.937,7.6,175,0.3130597079302229,7.230607496564998,2.3405801055759747
33,18.562,7.9,175,0.32396801575518747,7.489039972643778,2.5148121775082326
34,19.187,7.5,183,0.334876323580152,7.083382225527325,2.4648927455537617
35,19.75,7.5,183,0.34470252726888007,7.05882011442278,2.534375385024952
36,20.25,7.6,175,0.3534291735288517,7.130254153010879,2.6304896337889465
37,20.812,7.3,183,0.3632379239250599,6.823684361996307,2.5937100315661827
38,21.312,7.5,175,0.37196457018503154,6.987113459940194,2.725847665942205
39,21.875,7.5,183,0.3817907738737596,6.959991841441385,2.794371766080772
40,22.5,7.5,175,0.39269908169872414,6.929096493834651,2.8701257427381734
41,23.0,7.6,175,0.4014257279586958,6.995836886238546,2.9695565765184804
42,23.562,7.9,183,0.41123447835490395,7.2413615913432965,3.1579553992129292
43,24.062,8.1,183,0.4199611246148756,7.396148810882552,3.302572144144712
