,degrees,distance,strength,rad,x,y
0,1.937,0.1,35,0.033807027611130164,0.09994285968672667,0.003380058821864506
1,4.437,0.1,40,0.07744025891098841,0.0997003001347609,0.00773628806590056
2,6.875,0.1,35,0.11999138607461016,0.09928096670090551,0.011970365530496253
3,9.312,0.1,20,0.16252505994571195,0.09868218485377422,0.01618105041354028
4,11.75,0.1,25,0.20507618710933373,0.09790454724845839,0.020364175114017752
5,14.25,0.1,30,0.24870941840919197,0.09692309097067545,0.024615329302899308
6,16.687,0.1,35,0.29124309228029377,0.0957887670223991,0.028714318942446616
7,19.125,64.3,35,0.3337942194439155,60.75102878782025,21.06662054581689
8,21.5,56.0,65,0.3752457891787809,52.10338380699338,20.524068696560647
9,23.312,56.5,84,0.4068711552249181,51.887538786412016,22.3591886858309
10,25.25,57.3,70,0.4406956361285682,51.82527983453529,24.442388796353562
11,27.25,58.6,70,0.4756022211684548,52.096404491064156,26.831411425853666
12,29.625,43.3,55,0.5170537909033202,37.63979472682472,21.404108318790062
13,31.25,36.3,98,0.545415391248228,31.03330090542796,18.831469271226926
14,31.875,35.2,159,0.5563236990731926,29.89191678973558,18.587988342892956
15,32.562,34.4,167,0.5683141110343936,28.9926481076635,18.51449042521009
16,33.125,33.9,167,0.5781403147231217,28.390584032849336,18.52524597066717
17,33.687,33.1,167,0.5879490651193298,27.54184769951818,18.35910197413112
18,34.375,32.3,167,0.5999569303730508,26.6591258386411,18.2368037089699
19,34.937,32.3,167,0.6097656807692589,26.47896600332879,18.497414938162525
20,35.5,32.0,167,0.619591884457987,26.051696587402215,18.582494582750073
21,36.187,31.6,159,0.631582296419188,25.504179739272782,18.65735286225964
22,36.75,30.6,183,0.6414085001079161,24.518366668346456,18.308732777462165
23,37.312,30.4,167,0.6512172505041242,24.17853498305942,18.42711171271753
24,38.0,29.5,183,0.6632251157578453,23.246317231398297,18.16201352210692
25,38.562,29.5,183,0.6730338661540534,23.0670551571429,18.389153498117505
26,39.187,28.9,175,0.6839421739790179,22.400039490848357,18.260564909345877
27,39.75,28.9,183,0.693768377667746,22.219528946922978,18.4797871572389
28,40.375,28.5,167,0.7046766854927106,21.711899374671344,18.46194533477299
29,41.0,27.5,167,0.7155849933176751,20.75451345612623,18.04162329723895
30,41.625,27.6,175,0.7264933011426397,20.631229821407672,18.333367286351375
31,42.125,27.2,167,0.7352199474026113,20.173784170341946,18.244408246047904
32,42.687,26.9,175,0.7450286977988194,19.773341191482707,18.23800916013623
33,43.25,26.9,183,0.7548549014875475,19.593179089836564,18.43142243977906
34,43.937,25.9,175,0.7668453134487485,18.65067241654576,17.97115517741414
