,degrees,distance,strength,rad,x,y
0,0.187,6.0,183,0.0032637657012293962,5.9999680435287095,0.019582559441219057
1,0.687,6.1,183,0.011990411961201045,6.099561506817603,0.07313976038362772
2,1.187,6.1,191,0.02071705822117269,6.098690997490194,0.12636501545942405
3,1.812,6.1,183,0.031625366046137256,6.096949754719916,0.19288257676821768
4,2.375,6.2,183,0.04145156973486533,6.194674241476058,0.25692614112430384
5,2.937,6.3,183,0.051260320131073456,6.291724807920583,0.32279860810835853
6,3.5,6.3,183,0.061086523819801536,6.288249230057762,0.3846057990695983
7,4.0,6.0,183,0.06981317007977318,5.985384301558945,0.4185388424647518
8,4.5,6.0,183,0.07853981633974483,5.981504002398768,0.4707545743670697
9,5.0,6.1,183,0.08726646259971647,6.076787658359647,0.5316500307607148
10,5.562,6.2,175,0.09707521299592461,6.170809783242365,0.6009214749368774
11,6.062,5.8,175,0.10580185925589626,5.767567574155242,0.612506553069447
12,6.562,6.4,183,0.1145285055158679,6.358072168470606,0.731381091168957
13,7.125,6.2,191,0.12435470920459599,6.152123055056996,0.7690135989930091
14,7.625,6.4,183,0.13308135546456762,6.343409524223869,0.8492088129464448
15,8.187,6.2,183,0.14289010586077575,6.136813114835949,0.8829070129846625
16,8.687,6.5,183,0.1516167521207474,6.425433178812961,0.9817374723466417
17,9.187,6.6,183,0.16034339838071904,6.515338602659062,1.0537375824656972
18,9.812,6.3,183,0.1712517062056836,6.207845038146321,1.073620036308053
19,10.375,6.1,183,0.1810779098944117,6.000265875459874,1.0985487807975358
20,10.937,6.3,183,0.19088666029061982,6.18556929131691,1.195296006149611
21,11.437,6.5,183,0.19961330655059145,6.370931636501727,1.2888871490636524
22,12.0,6.4,183,0.20943951023931956,6.260144644696357,1.3306348212336598
23,12.5,6.3,191,0.2181661564992912,6.15066484485558,1.3635695678100481
24,13.0,6.5,183,0.22689280275926285,6.333405421104029,1.4621818532351225
25,13.562,6.4,183,0.23670155315547095,6.221547129313594,1.500783567917034
