,degrees,distance,strength,rad,x,y
0,0.25,6.4,175,0.004363323129985824,6.399939076612701,0.027925179422378058
1,0.812,6.0,183,0.014172073526193957,5.999397467080784,0.08502959475782962
2,1.312,6.3,183,0.022898719786165606,6.298348365362919,0.14424932765957868
3,1.875,6.3,183,0.032724923474893676,6.296626901101104,0.20613022177718965
4,2.375,6.4,183,0.04145156973486533,6.394502442813995,0.2652140811605717
5,2.937,6.2,183,0.051260320131073456,6.191856160175813,0.3176748206780671
6,3.437,6.0,183,0.0599869663910451,5.989207928386988,0.35970597791313413
7,4.0,5.8,175,0.06981317007977318,5.78587149150698,0.40458754771592675
8,4.5,6.2,183,0.07853981633974483,6.180887469145394,0.4864463935126387
9,5.0,5.9,183,0.08726646259971647,5.877548718741299,0.5142188822111832
10,5.562,5.9,175,0.09707521299592461,5.872222213085477,0.5718446293754156
11,6.187,6.0,175,0.10798352082088918,5.965052655954005,0.6466427233767285
12,6.687,6.1,191,0.11671016708086082,6.058502283918938,0.7103168840376836
13,7.25,6.4,183,0.1265363707695889,6.3488316779501766,0.8076734024693105
14,7.75,6.0,175,0.13526301702956053,5.945195384321293,0.809105581642338
15,8.312,6.4,175,0.14507176742576866,6.332771414236313,0.9252060392320263
16,8.875,6.5,183,0.15489797111449674,6.422177299597408,1.0028154030207876
17,9.437,6.4,183,0.16470672151070487,6.313385501434314,1.0493633833324871
18,9.937,6.3,183,0.17343336777067653,6.20548799086555,1.0871608874602856
19,10.5,6.3,183,0.1832595714594046,6.194505917652914,1.148083810600529
20,11.125,6.3,175,0.19416787928436915,6.18161397227525,1.2155857426654013
21,11.687,6.2,183,0.20397662968057728,6.071466537641653,1.2559036914897892
22,12.312,6.4,175,0.21488493750554186,6.252805990571616,1.3647040867058726
23,12.812,6.3,191,0.2236115837655135,6.143148471030784,1.3970421836409013
24,13.375,6.5,183,0.23343778745424157,6.323699880573103,1.5036022813363015
25,13.937,6.0,175,0.2432465378504497,5.823366880099785,1.445129122174519
26,14.437,6.2,183,0.25197318411042136,6.004218646000008,1.5457549776810797
27,15.062,6.5,183,0.2628814919353859,6.2766937457862575,1.6891168170401007
28,15.562,6.1,175,0.27160813819535756,5.876378326923775,1.6365139042674013
29,16.125,6.6,175,0.2814343418840856,6.340343204962372,1.8330433828165282
30,16.625,6.2,183,0.2901609881440573,5.940826534699859,1.7738602212705663
31,17.187,6.3,183,0.29996973854026543,6.018676218834374,1.8615951688907988
32,17.687,6.2,183,0.3086963848002371,5.906928725796824,1.8836647866210994
33,18.25,6.3,183,0.31852258848896514,5.983104495071825,1.972931980847622
34,18.75,6.3,183,0.3272492347489368,5.965659815819166,2.0250686314099178
35,19.312,6.1,175,0.33705798514514496,5.756763419479097,2.0173435334982797
36,19.875,6.1,183,0.346884188833873,5.736662992169465,2.0738123623590647
37,20.375,6.3,175,0.35561083509384467,5.905834159126165,2.193427200729155
38,20.937,6.3,183,0.3654195854900528,5.884035621642683,2.251249609270372
39,21.437,6.6,183,0.3741462317500244,6.143411964344187,2.412154521657495
40,21.937,6.8,183,0.3828728780099961,6.307647329070554,2.5403907518468696
41,22.437,6.7,191,0.39159952426996775,6.192808367478239,2.5571711956166543
42,22.937,6.7,183,0.4003261705299394,6.1702573190974634,2.6111155884265616
43,23.437,6.3,191,0.409052816789911,5.780237194763598,2.5057649475302854
44,24.062,5.7,183,0.4199611246148756,5.204697311361797,2.324032249583316
45,24.625,6.9,175,0.42978732830360367,6.2724752615992925,2.875074623835857
46,25.25,6.4,175,0.4406956361285682,5.788512930907956,2.7300399353693336
