,degrees,distance,strength,rad,x,y
0,0.312,6.4,191,0.005445427266222308,6.399905111664517,0.034850562267809436
1,0.875,6.3,175,0.015271630954950384,6.299265362735131,0.09620753528404945
2,1.375,6.2,183,0.02399827721492203,6.198214742023767,0.14877503741974976
3,1.937,6.3,183,0.033807027611130164,6.29640016026378,0.21294370577746388
4,2.437,6.3,183,0.04253367387110181,6.294302151831304,0.26788135704415306
5,3.0,6.2,183,0.05235987755982989,6.1915031154783575,0.3244829287062518
6,3.5,6.3,183,0.061086523819801536,6.288249230057762,0.3846057990695983
7,4.062,6.0,175,0.07089527421600968,5.984927894744105,0.4250154052665599
8,4.687,6.2,175,0.08180358204097424,6.179266905017246,0.5066167353716082
9,5.187,6.1,183,0.09053022830094588,6.075020114856374,0.5514803750728065
10,5.687,6.0,183,0.09925687456091753,5.970468475707121,0.5945638574513941
11,6.25,6.3,183,0.1090830782496456,6.262554930800613,0.6858613115673767
12,6.75,6.5,175,0.11780972450961724,6.454944970207021,0.7639930834759447
13,7.375,6.2,183,0.12871803233458182,6.148709047102976,0.7958498941848351
14,8.0,6.4,175,0.13962634015954636,6.337715639946051,0.8907078461444189
15,8.437,6.4,183,0.14725342899076158,6.330737858509197,0.9390197904402152
16,9.0,6.2,183,0.15707963267948966,6.123667711689854,0.9698936832494314
17,9.562,6.4,183,0.16688838307569778,6.311081122751471,1.0631345456009045
18,10.187,6.4,175,0.17779669090066233,6.299108876086977,1.1319131447254536
19,10.75,6.5,175,0.18762289458939044,6.385927585215813,1.2124062340567752
20,11.25,6.4,175,0.19634954084936207,6.277025794580675,1.2485780609032209
21,11.812,6.5,175,0.2061582912455702,6.362359495310588,1.3305568956009377
22,12.312,6.3,183,0.21488493750554186,6.1551058969689345,1.3433805853510932
23,12.875,6.4,183,0.22471114119426994,6.239094480878343,1.4260785597832264
24,13.437,6.0,175,0.23451989159047806,5.835756114717174,1.3942562782864243
25,13.937,6.4,175,0.2432465378504497,6.211591338773104,1.5414710636528204
26,14.5,6.4,183,0.2530727415391778,6.19614489841989,1.6024320259484253
27,15.062,6.9,191,0.2628814919353859,6.662951822450028,1.7930624673194917
28,15.687,6.3,175,0.27378979976035045,6.065344649320213,1.7034066704585435
29,16.25,6.3,183,0.28361600344907856,6.048314082631351,1.76292278839525
30,16.812,6.5,183,0.2934247538452867,6.222183122077963,1.8800098923484765
31,17.437,6.3,175,0.30433306167025126,6.010496209889777,1.8878387936740302
32,18.0,6.7,183,0.3141592653589793,6.372078659177529,2.0704138623121477
33,18.5,6.7,183,0.32288591161895097,6.353768489881536,2.1259411979141176
34,19.187,6.8,175,0.334876323580152,6.422266551144775,2.2348360893020773
35,19.687,6.6,183,0.3436029698401237,6.21421023343394,2.2234188032588222
36,20.187,6.5,183,0.35232961610009533,6.1007137378074585,2.243054143200148
37,20.687,7.0,183,0.361056262360067,6.548669453540893,2.472838124152169
38,21.187,6.7,183,0.3697829086200386,6.247119042433535,2.421467255542455
39,21.75,6.8,191,0.37960911230876665,6.315904959529084,2.519790575066886
40,22.25,7.1,191,0.3883357585687383,6.571337578524721,2.6884051832022737
41,22.75,7.0,183,0.39706240482870997,6.4554068016931625,2.706976731457744
42,23.375,6.5,183,0.4079707126536745,5.966530874020878,2.5788581444809373
43,24.0,6.7,175,0.4188790204786391,6.120754566205426,2.7251355086078615
44,24.562,5.9,167,0.4286877708748472,5.366120781897258,2.452498267907721
45,25.187,5.7,175,0.4395960786998118,5.158064721960159,2.425771696609157
46,25.812,6.9,183,0.45050438652477637,6.211570419771728,3.0043955998198517
47,26.437,6.1,175,0.4614126943497409,5.462089087804083,2.7158024222854573
48,27.0,5.6,167,0.47123889803846897,4.98963653545486,2.5423467985414616
49,27.625,5.5,175,0.4821472058634335,4.873007391156829,2.5502546864442612
50,28.25,5.3,175,0.4930555136883981,4.668720912488543,2.50859423607967
51,28.812,5.9,167,0.5028642640846063,5.169613999171764,2.843429460979704
52,29.437,5.3,167,0.5137725719095708,4.615752073666304,2.604771159707742
53,30.062,5.9,167,0.5246808797345354,5.106354684237481,2.955527336832792
54,30.75,4.4,159,0.5366887449882564,3.781388210606392,2.2496895787390296
55,31.375,5.1,159,0.5475970528132209,4.354268051704674,2.655249467357818
56,33.125,4.5,84,0.5781403147231217,3.7686615972808855,2.4591034474336952
57,35.187,4.9,70,0.6141290038992447,4.0046507616574285,2.8236097954846
58,37.375,5.0,70,0.6523168079328807,3.9733978130467484,3.0351457657376715
59,39.75,4.0,70,0.693768377667746,3.075367328293838,2.557756007922339
60,42.125,3.5,55,0.7352199474026113,2.595891345448412,2.3476260610723405
61,44.625,3.9,50,0.7788531787024695,2.7757064640051685,2.739608297855722
62,47.062,1.7,40,0.8213868525735714,1.1580511520996875,1.2445551531051513
63,49.562,6.4,60,0.8650200838734295,4.151198910814855,4.871093060376651
64,51.937,3.7,45,0.9064716536082948,2.2811519943984555,2.9131332922562865
65,54.375,3.2,40,0.9490227807719167,1.863928629976967,2.601109390693169
66,56.875,6.0,40,0.9926560120717749,3.2788045965782606,5.024882129707847
67,59.312,3.0,30,1.0351896859428766,1.5310884590304656,2.579877541788314
68,61.75,6.5,50,1.0777408131064985,3.076577836701482,5.725789798335006
69,64.187,5.5,40,1.1202744869776002,2.3948945020938948,4.951209985835829
70,66.625,6.1,45,1.162825614141222,2.4201591817436485,5.5993597433119
71,69.0,6.7,55,1.2042771838760873,2.4010652619535127,6.254988857531252
72,71.5,0.1,35,1.2479104151759457,0.03173046564050921,0.09483236552061994
