,degrees,distance,strength,rad,x,y
0,1.437,53.5,70,0.025080381351158518,53.48317444910958,1.3416597355932864
1,3.75,53.9,70,0.06544984694978735,53.78459596256073,3.525228665504711
2,4.312,53.3,167,0.07525859734599549,53.14912945421849,4.007497755298685
3,4.937,53.1,167,0.08616690517096005,52.90299520887125,4.56980283274293
4,7.375,50.4,65,0.12871803233458182,49.98305418935322,6.469489462405756
5,9.875,45.7,30,0.17235126363444003,45.022920252371335,7.837515674536879
6,12.312,52.3,55,0.21488493750554186,51.097148954202424,11.152191208549551
7,14.0,54.2,84,0.24434609527920614,52.59002836415901,13.112166741501992
8,15.625,55.1,84,0.272707695624114,53.06378703259772,14.840636972822754
9,17.312,55.3,84,0.30215140010525837,52.794826857280654,16.4558882200189
10,19.687,54.8,70,0.3436029698401237,51.596775877603015,18.461113699785372
11,21.812,23.2,70,0.3806912164450032,21.53906623614198,8.620245105279109
12,22.375,23.6,191,0.39051742013373125,21.823208366405993,8.983739566373654
13,22.875,23.6,183,0.39924406639370286,21.743980483267347,9.173838495596536
14,23.375,23.4,183,0.4079707126536745,21.479511146475158,9.283889320131374
15,23.937,24.0,191,0.41777946304988267,21.935811254391062,9.737565640945913
16,24.437,24.2,183,0.42650610930985433,22.032084133627453,10.011356987379958
17,25.0,24.1,183,0.4363323129985824,21.842017667583264,10.185100107950857
18,25.562,23.9,191,0.44614106339479054,21.56064166605853,10.312552106429363
19,26.062,23.8,183,0.4548677096547622,21.379995935159855,10.456374793041237
20,26.562,24.2,183,0.46359435591473386,21.645714326705136,10.821416325355571
21,27.125,23.9,183,0.4734205596034619,21.27133342680659,10.89680569000019
22,27.625,24.2,183,0.4821472058634335,21.441232521090047,11.221120620354748
23,28.187,24.2,183,0.49195595625964167,21.3301376754691,11.430889149385253
24,28.687,24.3,191,0.5006826025196134,21.31729893928373,11.664594546456069
25,29.25,24.6,183,0.5105088062083414,21.46340177399081,12.020082540825092
26,29.75,24.5,183,0.519235452468313,21.270870954983984,12.1573043400426
27,30.25,24.9,183,0.5279620987282847,21.50950407958945,12.543972028433604
28,30.75,24.7,183,0.5366887449882564,21.22733836408588,12.628939226103189
29,31.25,24.9,175,0.545415391248228,21.28730557975637,12.917454128196983
30,31.812,24.8,175,0.5552241416444361,21.07460126279605,13.072917869173477
31,32.312,25.0,183,0.5639507879044077,21.128747504741412,13.363234222331192
32,32.812,25.1,183,0.5726774341643793,21.095373561960134,13.601294581081373
33,33.375,25.0,183,0.5825036378531074,20.87719940796858,13.752910414887332
34,33.937,25.3,175,0.5923123882493155,20.990193980245927,14.124509077190886
35,34.437,25.1,183,0.6010390345092872,20.701187010820128,14.194042987924623
36,35.0,25.5,167,0.6108652381980153,20.888377129369292,14.626199126951674
37,35.625,25.9,167,0.6217735460229799,21.052729130922835,15.086172348876074
38,36.187,25.2,183,0.631582296419188,20.338776247774494,14.878648485093128
39,36.75,25.8,175,0.6414085001079161,20.672348367429365,15.436774694723
40,37.25,25.9,183,0.6501351463678877,20.61645186564671,15.677114290310962
41,37.875,25.8,175,0.6610434541928523,20.36528268858327,15.839673639759454
42,38.437,25.7,183,0.6708522045890604,20.130608877216083,15.97650106351666
43,40.875,24.7,50,0.7134033317526822,18.676635319973972,16.163950418282674
44,43.25,24.0,60,0.7548549014875475,17.480903277177607,16.44439176783262
45,45.75,24.6,60,0.7984881327874057,17.165645312105333,17.621027808246495
46,47.375,23.5,98,0.8268497331323136,15.914131572306815,17.29133934370925
47,47.937,22.3,183,0.8366584835285217,14.939825506039812,16.555712423483392
48,48.437,22.5,175,0.8453851297884933,14.927471264561094,16.83510028617896
49,48.937,23.6,183,0.854111776048465,15.502568098557314,17.794110889549753
50,49.437,23.0,183,0.8628384223084367,14.956526608572908,17.472902214773896
51,49.937,22.2,183,0.8715650685684083,14.288575583791054,16.99048580195075
52,50.437,22.8,175,0.88029171482838,14.521919209809317,17.57708344588974
53,50.937,22.8,183,0.8890183610883516,14.36797921697502,17.703140207900237
54,51.5,22.8,175,0.8988445647770797,14.193333715337726,17.843465976235038
55,52.0,22.8,183,0.9075712110370514,14.03708163742501,17.96664518223326
56,52.562,22.7,183,0.9173799614332595,13.79938860756069,18.024063749818577
57,53.062,22.6,191,0.926106607693231,13.58148049057001,18.063869676353022
58,53.625,22.8,183,0.9359328113819593,13.521941940133805,18.35748038723317
59,54.125,22.5,183,0.9446594576419308,13.185424205682613,18.231691872017777
60,54.687,22.6,183,0.9544682080381389,13.063766946718085,18.441745935833627
61,55.25,22.2,191,0.964294411726867,12.65392812963793,18.24056202231603
62,55.75,22.3,183,0.9730210579868387,12.550549887600031,18.432951405536308
63,56.312,22.5,183,0.9828298083830468,12.480078852366585,18.721581980129574
64,56.812,22.5,191,0.9915564546430184,12.316229099469666,18.829776970781587
65,57.375,22.3,191,1.0013826583317467,12.022784600915305,18.78144431187319
66,57.875,22.2,191,1.0101093045917182,11.805253054060447,18.800957431194732
67,58.375,22.5,191,1.0188359508516898,11.798043571389254,19.158709974515528
68,58.875,22.5,199,1.0275625971116615,11.630405175345619,19.260936515582355
69,59.25,22.5,199,1.0341075818066403,11.504094436733672,19.336644258782684
70,59.687,22.4,199,1.0417346706378554,11.305806603012943,19.33749562521654
71,60.187,22.7,199,1.0504613168978272,11.285778021908179,19.695715636661042
72,60.687,22.8,183,1.0591879631577987,11.162430962932643,19.88064724795857
73,61.187,22.9,183,1.0679146094177703,11.036712006763045,20.06491933897997
74,61.75,22.6,183,1.0777408131064985,10.697024478377461,19.908130683441716
75,62.25,22.7,183,1.08646745936647,10.569449611380032,20.089219370411048
