,degrees,distance,strength,rad,x,y
0,0.812,54.7,55,0.014172073526193957,54.694506908219815,0.77518647220888
1,1.5,53.7,159,0.026179938779914945,53.681598351187425,1.4057021241327883
2,3.75,53.8,70,0.06544984694978735,53.684810070236864,3.5186883525816963
3,4.437,53.1,167,0.07744025891098841,52.94085937155804,4.107968962993197
4,5.062,54.4,159,0.08834856673595297,54.18782929808989,4.799912078472994
5,7.562,50.1,55,0.1319817980358112,49.664282203954286,6.59310800502995
6,9.937,0.1,50,0.17343336777067653,0.09849980937881826,0.01725652202317914
7,12.375,51.3,50,0.21598449493429828,50.10808971176075,10.994059552237102
8,13.062,54.8,159,0.22797490689549932,53.382108849579566,12.38509001871356
9,13.75,54.7,159,0.2399827721492203,53.1324112187854,13.00141831024167
10,15.5,55.4,84,0.27052603405912107,53.38512710775771,14.80500603473543
11,17.375,55.0,84,0.30325095753401476,52.4903895359667,16.42434188521651
12,19.812,54.8,60,0.3457846314051166,51.55637721617126,18.573636379122323
13,21.937,23.7,70,0.3828728780099961,21.984006132201785,8.854008943936883
14,22.375,23.7,191,0.39051742013373125,21.915679588297543,9.021806259451507
15,22.875,23.8,183,0.39924406639370286,21.928251504311984,9.251582889627015
16,23.437,23.3,191,0.409052816789911,21.377702640951085,9.267352901183436
17,24.0,23.5,175,0.4188790204786391,21.46831825460112,9.558311112281304
18,24.5,23.6,183,0.4276056667386107,21.47508599268642,9.786760526687242
19,25.062,24.2,183,0.4374144171348189,21.92156853678596,10.251089351234624
20,25.562,24.2,183,0.44614106339479054,21.831277335506964,10.441998367179524
21,26.125,24.4,191,0.4559672670835186,21.907186946768284,10.744075580492959
22,26.625,24.2,175,0.46469391334349025,21.633802475272358,10.845210484859185
23,27.187,24.1,183,0.4745026637396984,21.437433509298245,11.01119632621346
24,27.687,24.4,191,0.48322930999967006,21.60617736358129,11.33724392140645
25,28.25,24.4,183,0.4930555136883981,21.493734012211405,11.548999879310179
26,28.75,24.2,183,0.5017821599483697,21.216787488121685,11.63992820784918
27,29.312,24.7,183,0.5115909103445779,21.53757890494534,12.092257643354003
28,29.812,24.5,183,0.5203175566045496,21.25770303468437,12.180314515199143
29,30.312,24.5,175,0.5290442028645211,21.15060165949181,12.365356826291038
30,31.0,24.6,183,0.5410520681182421,21.086315597271966,12.669936642787333
31,31.5,24.7,183,0.5497787143782138,21.060212059546075,12.905714548483935
32,32.0,25.0,175,0.5585053606381855,21.20120240391065,13.247981605830123
33,32.562,24.9,183,0.5683141110343936,20.985957496535498,13.4014770810387
34,33.062,24.8,183,0.5770407572943652,20.78440187801151,13.529546872431151
35,33.625,25.1,183,0.5868669609830933,20.900260440253053,13.899248667809111
36,34.187,24.8,183,0.5966757113793014,20.51476052429997,13.935013477949123
37,34.75,25.2,175,0.6065019150680295,20.705502836142525,14.363918417426836
38,35.25,25.6,175,0.6152285613280012,20.906023812138983,14.774916864953182
39,35.75,25.2,167,0.6239552075879728,20.45166434551831,14.723091574063346
40,36.437,25.3,167,0.6359456195491738,20.354113533839715,15.026645076382254
41,37.0,26.1,183,0.6457718232379019,20.844386812234344,15.70737210426846
42,37.625,26.0,175,0.6566801310628665,20.59260688920828,15.872760991917305
43,38.125,26.1,183,0.6654067773228381,20.531975145020905,16.1135966389954
44,39.062,26.7,167,0.6817605124140249,20.731602587678665,16.825298040348503
45,41.562,24.1,50,0.7253937437138832,18.03254203080048,15.988665607467501
46,43.937,24.5,50,0.7668453134487485,17.64252796159734,16.999741384040405
47,46.375,25.6,55,0.8093964406123704,17.662347716148215,18.531094764041168
48,47.75,23.4,98,0.8333947178272924,15.733383293971231,17.321104183191867
49,48.312,22.9,175,0.8432034682235005,15.230193787740342,17.10120455371128
50,48.812,23.0,167,0.8519301144834721,15.146232786052229,17.30871550377776
51,49.375,23.1,175,0.8617563181722002,15.040535892966025,17.53260619680944
52,49.875,23.0,183,0.8704829644321719,14.822518552254639,17.586726351657006
53,50.5,23.1,175,0.8813912722571364,14.693406888416348,17.824527876256333
54,51.0,22.4,183,0.8901179185171081,14.09677675951636,17.408069536636148
55,51.5,22.7,183,0.8988445647770797,14.131082251673963,17.765205160549794
56,52.187,22.5,175,0.9108349767382807,13.794442163110745,17.775358376375777
57,52.687,22.7,183,0.9195616229982524,13.760033391528648,18.054126427606974
58,53.187,22.6,183,0.928288269258224,13.54203895012955,18.09345685802396
59,53.687,22.4,175,0.9370149155181957,13.265190912644428,18.04978421065182
60,54.187,22.6,183,0.9457415617781673,13.224202069063416,18.32704230465404
61,54.687,22.3,191,0.9544682080381389,12.89035411114218,18.196943998632296
62,55.25,22.7,183,0.964294411726867,12.938926510936081,18.65138549128711
63,55.75,22.6,183,0.9730210579868387,12.719391365908551,18.680928330274465
64,56.25,22.6,183,0.9817477042468103,12.555887266243012,18.791213238037525
65,56.75,22.7,183,0.990474350506782,12.446256310102045,18.98369573774414
66,57.25,22.5,191,0.9992009967667537,12.171925605779863,18.92337779169883
67,57.812,22.6,191,1.0090097471629618,12.038998261115587,19.126487415854903
68,58.312,22.7,191,1.0177363934229333,11.924161226166362,19.315909998040237
69,58.75,22.7,191,1.0253809355466685,11.77615296024384,19.406499464275885
70,59.25,22.7,199,1.0341075818066403,11.60635305394908,19.508525541082975
71,59.75,22.7,199,1.0428342280666119,11.435669278933446,19.60906596813978
72,60.187,22.7,191,1.0504613168978272,11.285778021908179,19.695715636661042
73,60.687,23.0,183,1.0591879631577987,11.260347024010999,20.05503889048452
74,61.187,22.6,183,1.0679146094177703,10.892126259949556,19.802060133665826
75,61.75,22.9,191,1.0777408131064985,10.839020378532913,20.172397904903328
76,62.25,22.9,191,1.08646745936647,10.662572515445053,20.266216897903654
77,62.812,22.6,183,1.0962762097626781,10.326203021176523,20.10297319217844
78,63.312,22.3,191,1.10500285602265,10.015640957373355,19.924280067620646
79,63.812,22.4,183,1.1137295022826215,9.885521447341334,20.100658340316976
80,64.312,22.3,183,1.1224561485425932,9.666388893033318,20.096042539978914
81,64.812,22.3,191,1.1311827948025648,9.490651997961788,20.17963143007285
82,65.312,21.9,183,1.1399094410625366,9.147121638144103,19.898245292914545
83,65.812,21.9,183,1.148636087322508,8.973130599876502,19.97731031038863
84,66.312,21.7,183,1.1573627335824799,8.718105024589514,19.871704626936943
85,66.875,21.6,183,1.1671889372712079,8.483150025026802,19.864444760749993
86,67.375,21.8,183,1.1759155835311796,8.386418852810344,20.12232538314663
87,67.937,21.2,183,1.1857243339273875,7.963268203400314,19.647553525075672
88,68.437,21.0,191,1.1944509801873593,7.7180051027527625,19.53029434580755
89,69.0,21.2,183,1.2042771838760873,7.5974005303603676,19.791905041740677
90,69.5,20.7,183,1.213003830136059,7.2492927920709755,19.38911431744183
91,70.0,20.8,183,1.2217304763960306,7.114018981173912,19.545606512346893
92,70.625,20.7,183,1.2326387842209952,6.86721551429439,19.52770726634938
93,71.125,20.5,183,1.241365430480967,6.631843885155538,19.39764539017365
94,71.625,20.4,175,1.2500920767409385,6.430793625614503,19.359878443439563
95,72.125,20.4,175,1.2588187230009102,6.26160409421741,19.41525982744706
96,72.625,20.3,183,1.2675453692608818,6.062075277634459,19.373725592365894
97,73.187,20.0,183,1.27735411965709,5.78497996813622,19.145077873131324
98,73.687,19.8,183,1.2860807659170617,5.561512597224725,19.002883403076247
99,74.187,20.4,191,1.2948074121770332,5.5589706314985925,19.627986282808944
100,74.75,20.0,183,1.3046336158657614,5.2606242891594945,19.295746476576262
101,75.25,19.8,183,1.313360262125733,5.041118574469447,19.147509590496075
102,75.75,20.1,183,1.3220869083857045,4.947681189882763,19.481541285105767
103,76.25,19.6,191,1.3308135546456763,4.658643489592993,19.038304568339925
104,76.75,19.7,191,1.3395402009056478,4.51524770117156,19.175571391670836
105,77.25,19.6,183,1.3482668471656196,4.325669726421421,19.11670948196685
106,77.75,19.3,183,1.3569934934255912,4.095029072619415,18.860560354729703
107,78.312,19.6,183,1.3668022438217993,3.9706111781045355,19.193599112003756
108,78.812,19.6,191,1.375528890081771,3.8029663654050445,19.227517957958018
109,79.312,19.6,183,1.3842555363417426,3.635031942093049,19.259972553977416
110,79.875,19.4,183,1.3940817400304708,3.410447830726476,19.097875420943897
111,80.375,19.4,191,1.4028083862904424,3.24365968351889,19.126909626427217
112,80.875,19.3,183,1.4115350325504141,3.0607656297945147,19.055752773361345
113,81.437,19.3,183,1.421343782946622,2.873708265040881,19.08485789329949
114,81.937,19.4,183,1.4300704292065938,2.7210803404703925,19.20822016170956
115,82.5,19.2,183,1.4398966328953218,2.5061028906249927,19.035741338377157
116,82.937,19.0,191,1.447523721726537,2.3362519891525007,18.855819437064543
117,83.437,19.1,191,1.4562503679865086,2.1830466176099432,18.974833529318296
118,83.937,18.9,183,1.4649770142464804,1.996254548755323,18.794280187774515
119,84.437,18.7,183,1.473703660506452,1.8127815463451489,18.61192690360755
120,85.0,19.0,183,1.4835298641951802,1.6559591122055046,18.927699263743165
121,85.5,19.0,183,1.4922565104551517,1.4907228188290549,18.94142934092943
122,86.062,18.7,183,1.5020652608513598,1.2842592441760452,18.655848364353425
123,86.562,18.7,191,1.5107919071113316,1.1214094205154035,18.666345140695842
124,87.125,18.8,191,1.5206181108000596,0.9429546408491165,18.776337144003914
125,87.625,18.9,183,1.5293447570600314,0.7832103334273118,18.88376502643508
126,88.125,18.5,183,1.538071403320003,0.6053030322028591,18.490094868312767
127,88.625,18.7,183,1.5467980495799745,0.4487247096369895,18.694615431587813
128,89.125,18.7,183,1.5555246958399462,0.2855683983828134,18.697819410023325
