,degrees,distance,strength,rad,x,y
0,0.562,54.3,84,0.009808750396208134,54.297387876428445,0.5326066059306723
1,1.25,52.4,159,0.02181661564992912,52.38753021898724,1.1430999758110028
2,3.687,53.7,55,0.06435028952103093,53.58885359274784,3.453226116986487
3,6.125,52.8,60,0.10690141668465268,52.498590304125855,5.633650333446571
4,8.625,53.5,60,0.1505346479845109,52.89497063059296,8.023221422141406
5,10.937,53.7,70,0.19088666029061982,52.72461443551081,10.188475480989542
6,13.437,52.9,70,0.23451989159047806,51.451916411423085,12.29269285355864
7,14.187,52.4,159,0.24760986098043553,50.801851531275645,12.842580776239098
8,16.562,27.3,45,0.2890614307153009,26.16737321519111,7.781939283809599
9,18.187,19.6,98,0.31742303106020875,18.620840714886565,6.117539625602996
10,18.75,19.5,175,0.3272492347489368,18.46513752515456,6.268069573411651
11,19.375,19.1,175,0.33815754257390135,18.018319265085662,6.3364162474890255
12,19.875,19.3,191,0.346884188833873,18.150425532601748,6.561406326808189
13,20.5,19.6,183,0.35779249665883756,18.358774909268593,6.864064672685562
14,22.875,17.4,50,0.39924406639370286,16.03157883088355,6.763762280651682
15,24.625,9.1,84,0.42978732830360367,8.272394910225152,3.7917650836096075
16,25.187,9.4,167,0.4395960786998118,8.506282173057105,4.000395429495803
17,26.937,8.6,84,0.4701393406097126,7.666944497166601,3.895890408798323
18,28.687,8.1,84,0.5006826025196134,7.105766313094577,3.888198182152023
19,30.25,6.9,98,0.5279620987282847,5.96046498591033,3.4760404416141317
20,30.812,7.2,167,0.5377708491244928,6.183738979815671,3.688003827209002
21,31.437,6.8,167,0.5486791569494573,5.80185632869413,3.5466129111015015
22,32.062,6.8,175,0.5595874647744219,5.7628243691239796,3.609689085036383
23,32.625,6.2,167,0.56941366846315,5.221746849040977,3.342657602048201
24,33.25,6.1,167,0.5803219762881145,5.101345550671333,3.344588700071474
25,33.812,5.5,175,0.5901307266843226,4.56977367422616,3.0605830435310106
26,34.437,5.8,175,0.6010390345092872,4.783541221623774,3.279898379679793
27,35.062,5.6,167,0.6119473423342517,4.583773014145709,3.216990045802062
28,35.687,5.2,167,0.6228556501592163,4.223522717900049,3.0334560902347323
29,37.312,5.3,84,0.6512172505041242,4.215336691125492,3.212621449914569
30,39.062,5.5,84,0.6817605124140249,4.2705548401585265,3.465885364116733
31,41.312,5.3,70,0.7210304205838974,3.9809671989872117,3.4988426887455106
32,43.687,5.1,70,0.7624819903187627,3.68793180608231,3.5226636219892566
33,46.125,4.3,60,0.8050331174823845,2.9802756589462343,3.099670465822551
